Unique ID,Country IDs,Country Names,Age,Industry,Years of Experience,Job Title,Education,Knows English,Number of Connections,Endorsements,Profile Picture,Volunteer Experience,WFH,Company Type,Company Size,YOE in Current Company,Received Promotion,Number of People Under,Salary
1,5,Australia,23,Manufacturing,3,Software Engineer,Bachelor,1,515,31,0,0,0,Private,10000,1,1,0,122070.2
2,1,USA,35,Retail,7,Doctor,Bachelor,1,4,0,0,1,0,Private,10,3,0,0,69986.76
3,4,Canada,32,Finance,22,Business Analyst,PhD,1,203,10,0,0,0,Public,100,12,0,0,131893.8
4,4,Canada,28,Tech,10,Marketing Associate,Bachelor,1,89,5,1,0,1,Non-profit,100,7,0,0,83108.47
5,4,Canada,31,Education,20,Professor,Bachelor,1,45,1,1,1,1,Non-profit,10000,17,0,37,117729.3
6,2,UK,24,Healthcare,8,Doctor,Bachelor,1,92,1,0,1,1,Private,1000,1,1,0,62847.01
7,4,Canada,23,Retail,8,Product Manager,PhD,1,889,64,0,0,0,Non-profit,10,1,1,13,250110.3
8,3,India,35,Finance,17,Professor,Bachelor,0,38,0,0,1,1,Non-profit,1000,3,1,5,40892.36
9,5,Australia,35,Tech,17,Business Analyst,PhD,1,539,0,1,0,1,Private,100,3,1,0,163589.5
10,1,USA,32,Education,28,Data Scientist,Bachelor,1,386,15,0,1,0,Government,100,23,0,0,179294.7
11,1,USA,34,Retail,5,Business Analyst,PhD,1,840,0,0,1,1,Public,10000,1,1,0,154714.2
12,5,Australia,28,Others,27,Marketing Associate,Bachelor,1,96,2,0,0,1,Startup,1000,2,0,0,101481.1
13,3,India,34,Education,16,Data Scientist,Bachelor,0,527,39,0,1,1,Startup,100,15,1,0,114557.3
14,2,UK,34,Finance,22,Software Engineer,PhD,1,243,1,1,1,0,Public,100,18,1,0,138441.7
15,1,USA,32,Healthcare,3,Data Scientist,PhD,1,640,49,0,1,1,Startup,1000,1,0,0,236809.5
16,2,UK,34,Education,16,Product Manager,Master,1,347,1,0,0,1,Government,10,2,1,18,100498.3
17,2,UK,33,Manufacturing,27,Doctor,Bachelor,1,9,0,1,0,1,Private,10000,22,0,0,96370.19
18,1,USA,25,Manufacturing,0,Business Analyst,Master,1,593,31,1,1,1,Startup,100,0,0,0,151264.5
19,2,UK,35,Retail,2,Sales Associate,Bachelor,1,77,2,0,1,0,Startup,100,1,1,0,71060.05
20,5,Australia,24,Finance,11,Doctor,Bachelor,1,26,1,0,0,1,Private,10000,3,0,0,71611.31
21,4,Canada,34,Tech,18,Marketing Associate,Bachelor,1,67,3,0,0,0,Startup,1000,5,0,0,99766.4
22,1,USA,33,Finance,24,Sales Associate,Bachelor,1,39,72.13868,0,1,0,Public,10,2,1,0,140801.1
